ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
MAX,10,10,10,5,5,5,5,5,0,0,0,0,0,0,0
1,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0
2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
3,10,9,0,5,5,5,5,0,0,0,0,0,0,0,0
4,8,8,0,5,4,0,4,5,0,0,0,0,0,0,0
5,10,6,0,5,5,0,5,5,0,0,0,0,0,0,0
6,8,6,0,0,5,5,5,5,0,0,0,0,0,0,0
7,0,8,7,5,4,3,0,5,0,0,0,0,0,0,0
8,5,7,0,0,5,5,4,4,0,0,0,0,0,0,0
9,10,8,0,0,5,5,5,5,0,0,0,0,0,0,0
10,0,4,6,3,5,0,5,3,0,0,0,0,0,0,0
11,6,5,0,0,5,3,5,5,0,0,0,0,0,0,0
12,10,6,0,2,5,3,1,0,0,0,0,0,0,0,0
13,4,8,0,0,2,4,5,4,0,0,0,0,0,0,0
14,9,9,0,0,3,4,4,5,0,0,0,0,0,0,0
15,0,10,6,5,1,0,5,5,0,0,0,0,0,0,0
16,6,0,9,2,5,0,4,4,0,0,0,0,0,0,0
17,10,9,0,5,5,0,5,5,0,0,0,0,0,0,0
18,0,8,6,4,5,0,5,5,0,0,0,0,0,0,0
19,6,0,5,4,5,0,3,4,0,0,0,0,0,0,0
20,10,8,0,4,0,3,5,5,0,0,0,0,0,0,0
21,9,3,0,0,2,5,2,2,0,0,0,0,0,0,0
22,0,5,7,3,4,4,0,3,0,0,0,0,0,0,0
23,2,0,3,2,0,4,2,5,0,0,0,0,0,0,0
24,9,0,7,3,3,0,5,4,0,0,0,0,0,0,0
25,10,9,0,5,4,0,5,5,0,0,0,0,0,0,0
26,3,0,1,3,0,4,0,0,0,0,0,0,0,0,0
27,0,8,6,0,5,4,4,5,0,0,0,0,0,0,0
28,10,8,0,5,4,0,5,5,0,0,0,0,0,0,0
29,3,5,0,4,4,3,0,4,0,0,0,0,0,0,0
30,10,7,0,5,5,5,5,0,0,0,0,0,0,0,0
31,5,5,0,1,0,3,1,5,0,0,0,0,0,0,0
32,3,0,4,0,2,4,2,4,0,0,0,0,0,0,0
33,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0
34,10,7,0,5,5,0,5,5,0,0,0,0,0,0,0
35,0,3,4,4,0,2,4,5,0,0,0,0,0,0,0
36,4,6,0,0,3,2,3,3,0,0,0,0,0,0,0
37,5,7,0,2,5,0,5,5,0,0,0,0,0,0,0
38,2,0,4,1,0,3,4,5,0,0,0,0,0,0,0
39,9,5,0,1,3,2,0,3,0,0,0,0,0,0,0
40,1,1,0,0,0,1,0,5,0,0,0,0,0,0,0
41,5,6,0,0,4,4,0,0,0,0,0,0,0,0,0
42,10,4,0,3,1,4,0,0,0,0,0,0,0,0,0
43,7,9,0,2,0,3,4,4,0,0,0,0,0,0,0
44,0,5,5,2,0,4,5,3,0,0,0,0,0,0,0
45,4,7,0,2,5,0,5,5,0,0,0,0,0,0,0
46,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0
47,7,7,0,5,5,0,5,5,0,0,0,0,0,0,0
48,2,3,0,0,1,2,0,5,0,0,0,0,0,0,0
49,0,5,2,2,5,3,5,0,0,0,0,0,0,0,0
50,0,0,9,0,5,5,2,3,0,0,0,0,0,0,0
51,9,8,0,0,5,4,2,4,0,0,0,0,0,0,0
52,10,8,0,4,5,4,5,0,0,0,0,0,0,0,0
53,7,0,8,0,3,5,5,5,0,0,0,0,0,0,0
54,9,0,3,0,2,4,4,5,0,0,0,0,0,0,0
55,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0
56,5,8,0,0,5,5,5,4,0,0,0,0,0,0,0
57,0,9,9,0,5,5,5,5,0,0,0,0,0,0,0
58,9,0,6,0,1,3,4,4,0,0,0,0,0,0,0
59,4,5,0,0,0,5,5,5,0,0,0,0,0,0,0
60,10,8,0,0,5,5,4,4,0,0,0,0,0,0,0
61,5,0,4,0,5,5,4,5,0,0,0,0,0,0,0
62,0,9,5,0,1,4,5,5,0,0,0,0,0,0,0
63,2,0,6,0,0,5,1,4,0,0,0,0,0,0,0
64,7,8,0,0,5,3,4,5,0,0,0,0,0,0,0
65,10,5,0,0,2,3,4,5,0,0,0,0,0,0,0
66,2,4,0,0,5,4,4,0,0,0,0,0,0,0,0
67,0,5,4,3,0,5,4,5,0,0,0,0,0,0,0
68,7,0,8,3,0,5,4,5,0,0,0,0,0,0,0
69,7,0,8,3,0,5,4,3,0,0,0,0,0,0,0
70,0,7,4,0,5,5,4,4,0,0,0,0,0,0,0
