ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
MAX,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,2,3,0,0,0,0,0,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,4,3,2,0,3,0,0,0,0,0,0,0,0,0
5,4,3,3,0,0,3,0,0,0,0,0,0,0,0,0
6,3,3,4,4,0,3,0,0,0,0,0,0,0,0,0
7,3,3,4,4,0,3,0,0,0,0,0,0,0,0,0
8,3,3,2,2,0,1,0,0,0,0,0,0,0,0,0
9,3,2,4,3,2,3,0,0,0,0,0,0,0,0,0
10,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0
11,1,3,3,4,0,1,0,0,0,0,0,0,0,0,0
12,0,2,4,2,0,2,0,0,0,0,0,0,0,0,0
13,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
14,4,4,4,4,0,3,0,0,0,0,0,0,0,0,0
15,3,3,4,4,0,3,0,0,0,0,0,0,0,0,0
16,4,0,3,2,2,2,0,0,0,0,0,0,0,0,0
17,4,1,4,2,0,2,0,0,0,0,0,0,0,0,0
18,4,0,3,4,3,3,0,0,0,0,0,0,0,0,0
19,4,3,2,4,0,3,0,0,0,0,0,0,0,0,0
20,4,3,4,0,3,4,0,0,0,0,0,0,0,0,0
21,4,2,3,3,0,1,0,0,0,0,0,0,0,0,0
22,4,2,3,2,2,0,0,0,0,0,0,0,0,0,0
23,4,2,4,4,3,0,0,0,0,0,0,0,0,0,0
24,2,3,2,2,0,3,0,0,0,0,0,0,0,0,0
25,3,0,4,3,2,3,0,0,0,0,0,0,0,0,0
26,3,3,2,4,0,3,0,0,0,0,0,0,0,0,0
27,4,3,4,0,3,3,0,0,0,0,0,0,0,0,0
28,4,4,4,3,0,3,0,0,0,0,0,0,0,0,0
29,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0
30,4,3,4,4,0,3,0,0,0,0,0,0,0,0,0
31,4,0,3,4,2,3,0,0,0,0,0,0,0,0,0
32,3,3,4,0,2,3,0,0,0,0,0,0,0,0,0
33,4,0,3,3,2,3,0,0,0,0,0,0,0,0,0
34,4,2,4,4,0,3,0,0,0,0,0,0,0,0,0
35,4,0,3,4,1,3,0,0,0,0,0,0,0,0,0
36,4,3,4,4,0,3,0,0,0,0,0,0,0,0,0
37,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0
38,3,2,0,2,2,3,0,0,0,0,0,0,0,0,0
39,4,3,3,3,0,3,0,0,0,0,0,0,0,0,0
40,4,3,3,3,2,0,0,0,0,0,0,0,0,0,0
41,3,3,2,2,0,3,0,0,0,0,0,0,0,0,0
42,3,3,4,2,0,4,0,0,0,0,0,0,0,0,0
43,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0
44,4,0,1,2,1,3,0,0,0,0,0,0,0,0,0
45,3,2,4,4,0,3,0,0,0,0,0,0,0,0,0
46,4,3,2,2,0,3,0,0,0,0,0,0,0,0,0
47,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0
48,4,3,3,4,0,3,0,0,0,0,0,0,0,0,0
49,1,2,0,2,3,2,0,0,0,0,0,0,0,0,0
50,3,2,3,0,2,1,0,0,0,0,0,0,0,0,0
51,1,0,3,2,1,3,0,0,0,0,0,0,0,0,0
52,0,3,3,3,2,3,0,0,0,0,0,0,0,0,0
53,0,3,3,4,1,3,0,0,0,0,0,0,0,0,0
54,2,1,3,3,0,2,0,0,0,0,0,0,0,0,0
55,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0
56,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
57,2,1,4,0,0,2,0,0,0,0,0,0,0,0,0
58,4,3,4,0,1,3,0,0,0,0,0,0,0,0,0
59,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1,3,4,2,0,3,0,0,0,0,0,0,0,0,0
62,0,2,3,3,1,2,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,1,4,2,1,2,0,0,0,0,0,0,0,0,0
65,4,3,1,2,0,1,0,0,0,0,0,0,0,0,0
66,4,0,4,4,1,3,0,0,0,0,0,0,0,0,0
67,4,2,0,1,1,2,0,0,0,0,0,0,0,0,0
68,4,2,4,4,0,3,0,0,0,0,0,0,0,0,0
69,3,3,4,1,0,4,0,0,0,0,0,0,0,0,0
70,4,0,2,3,2,3,0,0,0,0,0,0,0,0,0
71,4,3,3,4,0,4,0,0,0,0,0,0,0,0,0
72,2,0,4,3,0,1,0,0,0,0,0,0,0,0,0
73,3,0,0,3,2,3,0,0,0,0,0,0,0,0,0
74,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0
75,2,3,2,2,0,2,0,0,0,0,0,0,0,0,0
76,2,3,3,3,0,2,0,0,0,0,0,0,0,0,0
77,2,2,0,3,3,2,0,0,0,0,0,0,0,0,0
78,4,0,1,0,2,2,0,0,0,0,0,0,0,0,0
