ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
MAX,5,15,5,5,5,5,5,5,0,0,0,0,0,0,0
1,5,14,5,0,5,5,5,0,0,0,0,0,0,0,0
2,5,14,5,0,5,5,5,0,0,0,0,0,0,0,0
3,5,9,3,1,2,5,5,0,0,0,0,0,0,0,0
4,5,14,1,0,5,5,5,0,0,0,0,0,0,0,0
5,5,12,1,0,0,5,5,0,0,0,0,0,0,0,0
6,3,11,4,0,5,5,3,0,0,0,0,0,0,0,0
7,5,15,5,0,5,5,5,0,0,0,0,0,0,0,0
8,5,12,4,0,0,5,5,5,0,0,0,0,0,0,0
9,5,15,5,0,5,5,5,0,0,0,0,0,0,0,0
10,0,0,0,0,5,5,4,4,0,0,0,0,0,0,0
11,5,12,3,0,5,5,0,0,0,0,0,0,0,0,0
12,5,15,0,0,5,5,5,0,0,0,0,0,0,0,0
13,5,14,0,0,5,5,5,5,0,0,0,0,0,0,0
14,5,15,5,0,5,5,5,0,0,0,0,0,0,0,0
15,5,8,0,0,5,5,4,4,0,0,0,0,0,0,0
16,5,15,0,0,5,5,5,2,0,0,0,0,0,0,0
17,5,9,5,0,4,5,5,0,0,0,0,0,0,0,0
18,5,9,2,0,5,5,5,0,0,0,0,0,0,0,0
19,3,15,1,0,5,2,0,2,0,0,0,0,0,0,0
20,5,15,5,0,0,5,5,5,0,0,0,0,0,0,0
21,4,11,0,0,5,5,5,5,0,0,0,0,0,0,0
22,5,10,1,0,4,5,5,0,0,0,0,0,0,0,0
23,5,11,0,0,3,5,4,0,0,0,0,0,0,0,0
24,3,15,0,0,0,3,1,2,0,0,0,0,0,0,0
25,5,10,1,0,4,5,3,0,0,0,0,0,0,0,0
26,5,14,4,0,4,2,0,3,0,0,0,0,0,0,0
27,3,7,4,0,4,5,5,0,0,0,0,0,0,0,0
28,3,15,0,0,5,5,5,3,0,0,0,0,0,0,0
29,5,13,4,0,5,5,0,5,0,0,0,0,0,0,0
30,3,10,2,1,0,4,1,0,0,0,0,0,0,0,0
31,4,12,4,0,5,5,5,0,0,0,0,0,0,0,0
32,5,12,4,0,5,5,0,4,0,0,0,0,0,0,0
33,4,11,0,0,0,5,5,4,0,0,0,0,0,0,0
34,5,4,0,0,4,5,5,5,0,0,0,0,0,0,0
35,4,12,0,0,3,5,2,0,0,0,0,0,0,0,0
36,4,10,0,0,0,5,2,0,0,0,0,0,0,0,0
37,2,11,5,5,0,5,5,0,0,0,0,0,0,0,0
38,5,13,0,0,5,4,1,5,0,0,0,0,0,0,0
39,4,6,0,0,5,5,5,3,0,0,0,0,0,0,0
40,5,9,3,0,0,5,5,5,0,0,0,0,0,0,0
41,3,12,0,0,1,1,5,5,0,0,0,0,0,0,0
42,2,5,0,0,4,5,4,5,0,0,0,0,0,0,0
43,4,9,3,0,5,5,3,0,0,0,0,0,0,0,0
44,1,4,0,0,1,4,1,0,0,0,0,0,0,0,0
45,2,13,0,0,2,5,1,0,0,0,0,0,0,0,0
46,4,11,0,0,4,0,5,5,0,0,0,0,0,0,0
47,1,11,0,0,5,5,4,5,0,0,0,0,0,0,0
48,5,2,0,0,5,5,4,5,0,0,0,0,0,0,0
49,2,12,0,0,5,5,5,4,0,0,0,0,0,0,0
50,4,13,0,1,3,5,3,0,0,0,0,0,0,0,0
51,2,7,3,0,0,5,4,4,0,0,0,0,0,0,0
52,5,12,2,0,0,5,5,0,0,0,0,0,0,0,0
53,2,12,0,0,5,4,3,0,0,0,0,0,0,0,0
54,4,15,4,0,5,5,5,0,0,0,0,0,0,0,0
55,2,15,0,0,3,5,2,5,0,0,0,0,0,0,0
56,4,14,0,0,5,5,4,2,0,0,0,0,0,0,0
57,4,12,0,0,5,5,5,0,0,0,0,0,0,0,0
58,5,14,0,4,5,5,0,5,0,0,0,0,0,0,0
59,5,15,0,4,5,5,0,5,0,0,0,0,0,0,0
60,5,6,5,0,0,5,5,5,0,0,0,0,0,0,0
61,5,8,5,0,4,5,5,0,0,0,0,0,0,0,0
62,2,14,0,0,0,0,3,0,0,0,0,0,0,0,0
63,5,10,4,0,5,5,4,0,0,0,0,0,0,0,0
64,5,11,5,0,5,0,5,0,0,0,0,0,0,0,0
65,3,11,0,0,3,5,4,0,0,0,0,0,0,0,0
66,4,13,0,0,1,5,5,5,0,0,0,0,0,0,0
67,5,15,5,0,5,5,5,0,0,0,0,0,0,0,0
68,5,13,5,0,5,5,5,0,0,0,0,0,0,0,0
69,4,13,0,0,5,5,5,5,0,0,0,0,0,0,0
70,3,14,0,1,0,5,5,4,0,0,0,0,0,0,0
71,5,15,4,0,0,5,4,5,0,0,0,0,0,0,0
72,5,13,0,5,5,5,5,5,0,0,0,0,0,0,0
73,5,12,5,0,0,5,2,5,0,0,0,0,0,0,0
74,5,13,2,0,5,5,3,0,0,0,0,0,0,0,0
75,5,13,0,1,2,5,4,0,0,0,0,0,0,0,0
76,3,14,5,0,0,5,4,4,0,0,0,0,0,0,0
77,3,13,4,0,5,5,3,0,0,0,0,0,0,0,0
78,5,12,4,0,5,5,3,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
