ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
MAX,10,5,5,5,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
4,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
5,9,4,0,4,0,0,0,0,0,0,0,0,0,0,0
6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
7,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0
8,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
9,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0
10,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
11,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
12,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0
13,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0
14,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0
15,6,0,2,3,0,0,0,0,0,0,0,0,0,0,0
16,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0
17,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
18,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
19,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0
20,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
21,6,5,0,3,0,0,0,0,0,0,0,0,0,0,0
22,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
23,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0
24,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0
25,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
26,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0
27,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
28,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0
29,7,5,0,3,0,0,0,0,0,0,0,0,0,0,0
30,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0
31,7,3,0,2,0,0,0,0,0,0,0,0,0,0,0
32,7,5,5,0,0,0,0,0,0,0,0,0,0,0,0
33,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0
34,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0
35,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0
36,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0
37,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0
38,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0
39,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
40,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0
41,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0
42,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0
43,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0
44,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0
45,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0
46,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0
47,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
48,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0
49,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0
50,6,0,5,4,0,0,0,0,0,0,0,0,0,0,0
51,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0
52,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0
53,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
54,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0
55,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
56,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
57,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0
58,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0
59,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,6,0,4,2,0,0,0,0,0,0,0,0,0,0,0
62,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0
63,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0
64,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0
65,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0
66,6,0,4,3,0,0,0,0,0,0,0,0,0,0,0
67,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0
68,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0
69,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0
70,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0
71,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0
72,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
73,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0
74,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0
75,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0
76,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0
77,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0
78,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
79,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0
