ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
MAX,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
34,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
51,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
54,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0
55,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0
56,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
60,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
64,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0
68,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
71,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
72,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
73,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
74,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
77,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
83,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0
84,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0
