ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15
max,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0
1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,8,3,0,0,0,0,0,0,0,0,0,0,0,0
7,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0
8,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,2,3,0,0,0,0,0,0,0,0,0,0,0,0
12,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0
13,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0
14,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0
15,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0
16,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0
17,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0
18,5,8,4,0,0,0,0,0,0,0,0,0,0,0,0
19,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0
20,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0
21,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
22,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0
25,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0
27,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0
28,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0
29,5,8,1,0,0,0,0,0,0,0,0,0,0,0,0
30,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
31,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
32,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
