coursecode,coursename,classname,examsession,pointfaculty,facultyname_1,facultyname_2,facultyname_3,facultyname_4,description
CET2252,Multiphase Reactors,MCHE,5,vk.rathod,V.K.Rathod,,,,
CET2656,Elective Advance Material Science,MCHE,5,kv.marathe,K.V.Marathe,,,,
CET2451,Advance Separation Processes,MCHE,5,vg.gaikar,V.G.Gaikar,,,,
CET2256,Elective Environmental Engineering,MCHE,5,pd.vaidya,P.D.Vaidya,,,,
CET2657,Elective Nanotechnology,MCHE,5,pr.nemade,P.R.Nemade,,,,
PHT2101,Elective  Research Methodology,MCHE,5,rd.jain,R.D.Jain,,,,
MAT1101,Applied Mathematics I,FYCE,6,ar.bhowmick,A. R. Bhowmick,M. M. Agarwal,,,
CHT1401,Physical Chemistry,FYCE,6,ka.joshi,K. A. Joshi,,,,
CHT1131,Organics Chemistry I,FYCE,6,v.kumar,A. R. Kapdi,A. Vijay Kumar,,,
PYT1101,Applied Physics I,FYCE,6,vd.deshpande,V. D. Deshpande,R. R. Deshmukh,S. V. Panse,,
MAT1103,Applied Mathematics III,SYCE,6,as.rane,A. S. Rane,,,,
CHT1333,Elective I Advanced Spectroscopy,SYCE,6,rv.jayaram,S. Gomathi,,,,
GET1114,Elective II Advanced Strength of Materials,SYCE,6,vr.gaval,V. R. Gaval,,,,
CHT1341,Physical Chemistry,SYCE,6,rv.jayaram,R. V. Jayaram,J. M. Nagarkar,,,
CET1101,Momentum and Mass Transfer,SYCE,6,aw.patwardhan,A. W. Patwardhan,,,,
CET1301,Chemical Engineering Thermodynamics I ,SYCE,6,ss.bhagwat,S. S. Bhagwat,,,,
BST1107,Biological Sciences,SYCE,6,rd.jain,R. D. Jain,,,,
GET1102,Structural Mehanics,SYCE,6,dd.sarode,D. D. Sarode,,,,
CET1502,Industrial and Engineering Chemistry,TYCE,6,kv.marathe,K. V. Marathe,P. K. Ghosh,P. D. Vaidya,,
CET1102,Heat Transfer,TYCE,6,vk.rathod,V. K. Rathod,,,,
CET1201,Chemical Reaction Engineering,TYCE,6,pd.vaidya,P. D. Vaidya,,,,
CET1402,Separation Processes,TYCE,6,av.patwardhan,A. V. Patwardhan,,,,
CET1202,Biochemical Engineering,TYCE,6,am.lali,A. M. Lali,,,,
CET1504,Chemical Project Engineering and Economics,FNCE,6,ab.pandit,A. B. Pandit,,,,
CET1505,Process Engineering,FNCE,6,vg.gaikar,V. G. Gaikar,,,,
HUT1102,"Perspective of Society, Science and Technology",FNCE,6,bn.thorat,B. N. Thorat,,,,
CET1511,Elective III Plant Utilities,FNCE,6,bn.thorat,Ravi Mariwalla,,,,
OLT1112,Elective III Nanotechnology and Its Innovation in Chemical Industry,FNCE,6,pr.nemade,P. R. Nemade,,,,
CET1605,Advanced Topics in Polymer Chemistry or Physical Characterization and Analysis of Polymers,FNCE,6,dv.pinjari,D. V. Pinjari,,,,
CET2151,Advanced Momentum Transfer,MCHE,6,pr.nemade,P. R. Nemade,,,,
CET2152,Advanced Heat Transfer,MCHE,6,vk.rathod,V. K. Rathod,,,,
CET2153,Advanced Mass Transfer Operations,MCHE,6,vh.dalvi,V. H. Dalvi,,,,
CET2351,Thermodynamics of Phase Equilibria,MCHE,6,aw.patwardhan,A. W. Patwardhan,,,,
CET2251,Advanced Reaction Engineering,MCHE,6,pr.gogate,P. R. Gogate,,,,
